latitude,longitude,address,name,type,civic,city,closingDay
44.859392,7.7230191999999995,,,Hotel Brusco,,,
44.859392,7.7230191999999995,,,Hotel Centrale Miramare,,,
44.859392,7.7230191999999995,,,Luxury b&b,,,
44.859392,7.7230191999999995,,,Baita Flora Alpina,,,
44.859392,7.7230191999999995,,,Hotel San Clemente,,,
44.859392,7.7230191999999995,,,City Hotel,,,
44.859392,7.7230191999999995,,,Hotel Orvieto,,,
44.859392,7.7230191999999995,,,Osteria del Grillo,,,
44.859392,7.7230191999999995,,,Il Colle è,,,
44.859392,7.7230191999999995,,,Bar Mangia e Bevi,,,
44.859392,7.7230191999999995,,,Hotel Conte Verde,,,
44.859392,7.7230191999999995,,,Da Andrea,,,
44.859392,7.7230191999999995,,,Ristorante La Cavallina,,,
44.859392,7.7230191999999995,,,Piedigrotta 2,,,
44.859392,7.7230191999999995,,,Ristorante Cosimo De' Medici Srl,,,
44.859392,7.7230191999999995,,,Trattoria da Endryu Termoli,,,
44.859392,7.7230191999999995,,,Totò e Peppino,,,
44.859392,7.7230191999999995,,,Antica Trattoria Ponte Guerro,,,
44.859392,7.7230191999999995,,,Bar Ristorante Alberto,,,
44.859392,7.7230191999999995,,,Pizzeria Ristorante Al Veliero,,,
44.859392,7.7230191999999995,,,Ristorante Pizzeria Bora Bora,,,
44.859392,7.7230191999999995,,,La Botte,,,
44.859392,7.7230191999999995,,,Hotel Alan,,,
44.859392,7.7230191999999995,,,L’altro Mezu,,,
44.859392,7.7230191999999995,,,La Baracca ristorante Cucina Tipica romagnola-Camere-a-Rimini,,,
44.859392,7.7230191999999995,,,Best Western Plus Hotel Modena Resort,,,
44.859392,7.7230191999999995,,,Hotel Bristol,,,
44.859392,7.7230191999999995,,,Mattarello Pisana,,,
44.859392,7.7230191999999995,,,Grand Hotel Continental Tirrenia,,,
44.859392,7.7230191999999995,,,Albergo Orzihotel,,,
44.859392,7.7230191999999995,,,Las Vegas,,,
44.859392,7.7230191999999995,,,Bastian Contrario,,,
44.859392,7.7230191999999995,,,Ristorante L'Oasi,,,
44.859392,7.7230191999999995,,,""""""Green Park"""" ideal service snc"",,,
44.859392,7.7230191999999995,,,UNAHOTELS San Vitale Bologna,,,
44.859392,7.7230191999999995,,,Osteria Castellabate di Romagna,,,
44.859392,7.7230191999999995,,,Trattoria La Sosta,,,
44.859392,7.7230191999999995,,,Agriturismo Al Giovenzano,,,
44.859392,7.7230191999999995,,,La Marina,,,
44.859392,7.7230191999999995,,,Ristorante Il Postiglione,,,
44.859392,7.7230191999999995,,,Green Park Hotel Pamphili,,,
44.859392,7.7230191999999995,,,Trattoria La Stazione,,,
44.859392,7.7230191999999995,,,Victoria Palace Hotel Gallipoli,,,
44.859392,7.7230191999999995,,,Hotel Loreto San Francesco,,,
44.859392,7.7230191999999995,,,Agriturismo B&B Casale degli Ulivi,,,
44.859392,7.7230191999999995,,,Il nuovo giardino,,,
44.859392,7.7230191999999995,,,Hotel Terminal Palace & Spa,,,
44.859392,7.7230191999999995,,,Alla Stanga,,,
44.859392,7.7230191999999995,,,DolomitiNice1,,,
44.859392,7.7230191999999995,,,Pasticceria Idea Dolce,,,
44.859392,7.7230191999999995,,,Best Western Plus Tower Hotel Bologna,,,
44.859392,7.7230191999999995,,,Alfa Fiera Hotel,,,
44.859392,7.7230191999999995,,,Ristorante Pizzeria Le Ancore,,,
44.859392,7.7230191999999995,,,Bar Trattoria La Bocciofila,,,
44.859392,7.7230191999999995,,,Osteria al Piattello,,,
44.859392,7.7230191999999995,,,Hotel Ristorante Verde Mare S.r.l.,,,
44.859392,7.7230191999999995,,,Hotel Ristorante da Toni,,,
44.859392,7.7230191999999995,,,Marcolino pane e vino,,,
44.859392,7.7230191999999995,,,La Caraffa,,,
44.859392,7.7230191999999995,,,Verdi Ricordi Parma,,,
44.859392,7.7230191999999995,,,Osteria Le Delizie,,,
44.859392,7.7230191999999995,,,Hotel Mercure Venezia Marghera,,,
44.859392,7.7230191999999995,,,Idea Hotel Milano San Siro,,,
44.859392,7.7230191999999995,,,aQua se Magna,,,
44.859392,7.7230191999999995,,,Hotel Antica Corte Marchesini,,,
44.859392,7.7230191999999995,,,Cocceria Romana,,,
44.859392,7.7230191999999995,,,La Vecchia Trattoria delle Due Province,,,
44.859392,7.7230191999999995,,,Agriturismo Corte del Brenta,,,
44.859392,7.7230191999999995,,,Best Western Plus Quid Hotel Venice Mestre,,,
44.859392,7.7230191999999995,,,Osteria La Pergola,,,
44.859392,7.7230191999999995,,,Taverna Latina,,,
44.859392,7.7230191999999995,,,Osteria Dossi,,,
44.859392,7.7230191999999995,,,Agriturismo San Michele,,,
44.859392,7.7230191999999995,,,Hotel Gialletti,,,
44.859392,7.7230191999999995,,,Trattoria da Dina,,,
44.859392,7.7230191999999995,,,Ristorante La Scarpetta,,,
44.859392,7.7230191999999995,,,Ristorante Da Charlie,,,
44.859392,7.7230191999999995,,,Ristorante la Bianchina,,,
44.859392,7.7230191999999995,,,Ristorante Bar la Garitta,,,
